,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
,,,碩士,職,54,38,16,2, -, -, -, -, -, -, -,33,14,1,3,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,109,76,33,3,1, -, -, -, -, -, -,72,30,1, -,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,二年制,修,15,13,2, -, -, -, -, -, -, -, -,13,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
46,國立臺北護理健康大學,臺北市,博士,,18,1,17, -,2, -, -, -, -, -, -, -,5, -, -,3, -, -, -, -, -,5, -, -,1,1, -, -, -,1, -, -,技職
,,,碩士,,199,24,175,2,10, -,2, -, -, -,3,7,50,7,4,16, -, -,1,3,4,70,1,4,2,7,1,1,1,1,1,1,技職
,,,碩士,職,77,9,68, -,3, -,1, -, -, -,1,4,18,5,1,4, -, -, -,1,3,26, -, -,1,8, -, -, -,1, -, -,技職
,,,四技,,105,30,75, -,10,1,1,1,4,14,17,5,14,2, -,1, -, -, -,7, -, -,4,3,1,3,1,7,3,4, -,2,技職
,,,二技,,33,5,28,1, -, -,3, -,2,1,5,2,8,1, -,1, -, -, -,2, -, -, -, -, -, -,1,5, -,1, -, -,技職
,,,二技,修,51,1,50, -,7, -,2, -,1, -,3,1,18,5, -,4, -, -, -,1, -, -, -,2, -,1, -, -, -,1, -,5,技職
47,國立高雄餐旅大學,高雄市,博士,,8,4,4, -,1, -, -, -, -, -, -,2,2, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -,1,技職
,,,碩士,,44,16,28,1,2,2,1, -,1,2,3,7,10,1,1,2, -, -, -,1, -,2, -,1,2,2, -,1, -, -,1,1,技職
,,,碩士,職,10,2,8, -,1, -, -, -, -, -, -,1,5, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -,技職
,,,四技,,93,40,53,3,3,5,8,7,8,6,12,1, -,2, -, -,3,1, -,1, -, -,2,3,2,2, -,1,6,7,5,5,技職
,,,四技,修,24,7,17, -,1, -,2,1, -,1, -,1,3,1, -, -,1, -, -,1, -, -,1,1,1, -, -, -,1,8, -, -,技職
,,,二技,,4, -,4, -,2, -,1, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,15,4,11, -, -,1,2, -, -, -, -,1,4, -, -,2, -, -, -,1, -, -, -, -, -,1, -, -,2,1, -, -,技職
,,,五專,,9,5,4, -,1, -, -,4,1,1,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
48,國立金門大學,金門縣,碩士,,50,21,29,1,4, -,1, -, -,1, -,11,8,2,3,3,1, -,1,1,1,5, -, -, -, -, -, -,2,3, -,2,一般
,,,碩士,職,16,10,6, -, -, -, -, -, -, -, -,8,6, -,1, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,73,51,22,4,4,3, -,3,2,17,5,6,5, -, -, -,5, -,2,4, -, -, -, -,1,2,2, -,8, -, -, -,一般
,,,學士,進,45,27,18,3,2, -, -,1, -,4, -,12,13, -, -,3,3, -, -, -, -, -, -, -,1, -, -, -,2, -,1, -,一般
49,國立臺灣體育運動大學,臺中市,博士,,1, -,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,76,39,37, -, -,10,5,1,2, -,3,23,26, -,4,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,職,19,11,8, -, -,4,1, -,1, -, -,6,4,2,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,86,66,20,4, -,27,4,6,4,12,2,15,4, -, -,1, -, -, -, -, -, -, -, -, -, -, -,2,2,3, -, -,一般
,,,學士,進,31,25,6, -,1,4, -,1, -,2,1,17,3,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,一般
50,國立臺中科技大學,臺中市,碩士,,77,30,47,1,2,2, -, -,1, -,1,22,29,1, -,2,1, -, -, -,1,4, -,2,1,5,2, -, -, -, -, -,技職
,,,碩士,職,37,21,16,2,1, -, -, -, -,1,1,15,10,1,1,2, -, -, -, -, -, -, -, -,2,1, -, -, -, -, -, -,技職
,,,四技,,152,62,90,4,11,3,11,11,3,25,23,11,20,1, -,8,4, -,1,2, -, -, -,3,1,3,1,4, -,1,1, -,技職
,,,四技,修,198,76,122,4,15,8,10,3,3,13,25,35,46,3, -,9,6, -, -, -, -, -,1,3,3,6, -,1,3,1, -, -,技職
,,,二技,,39,10,29,1,2, -,1,2,4,1,3,2,9, -, -,3,1, -, -,3, -, -, -, -,1,2, -,1,1, -,1,1,技職
,,,二技,修,247,79,168,4,16,4,8,1,4,6,12,48,103,4,1,4,1, -,3,4, -, -,5,4,3,7, -,1,3,1, -, -,技職
,,,二專,修,183,76,107,2,4,2,5,2,4,9,11,49,65,1, -,2, -, -,2,3, -, -,1,6,3,1,1, -,5,5, -, -,技職
,,,五專,,148,50,98,3,10, -,3,8,12,26,38,5,9, -, -,2, -, -, -,3, -, -, -, -,2,2,6,18, -,1, -, -,技職
51,國立臺北商業大學,臺北市,博士,,2,2, -, -, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,,32,24,8,2,2,3,1, -, -,1, -,10,3, -, -, -, -, -,2, -,4,1,1,1,1, -, -, -, -, -, -, -,技職
,,,碩士,職,21,11,10, -, -,1, -, -, -, -,1,5,4, -, -, -, -, -, -,1,4,4,1, -, -, -, -, -, -, -, -, -,技職
,,,四技,,54,18,36,4,7,1,5,2,2,2,11,2,4, -, -, -,1, -,1,3, -, -,1,1,4,3, -, -, -, -, -, -,技職
,,,四技,修,53,23,30, -,3,3,2,2,3,3,7,14,10,1, -, -, -, -, -,2, -, -, -, -,1,1, -,1, -, -, -, -,技職
,,,二技,,15,2,13, -,2, -, -, -,1,1,3,1,1, -, -,1, -, -, -,4, -, -, -,1, -, -, -, -, -, -, -, -,技職
,,,二技,修,89,30,59,2,4,1,3, -, -,1,1,20,36, -,1,7, -, -, -,1, -, -, -, -, -,7,4, -, -, -,1, -,技職
,,,二專,修,33,15,18,1,3,1, -, -,1,1,1,10,11,1, -,1, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,83,32,51,1,6,2,2,11,10,6,11,2,4,1, -, -,1, -,4,10, -, -,2,2, -, -,2,5, -, -,1, -,技職
52,國立屏東大學,屏東縣,博士,,5,5, -,1, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -,1, -,1, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,198,73,125, -,3,3, -,1, -,3,3,32,53,1,1,22,1, -,1, -,25,26,3,1,1,6,2,4, -, -, -,6,一般
,,,碩士,職,133,34,99,1,1,1,1, -, -, -,3,13,48,2,4,8, -, -, -, -,9,23,1, -,2,7, -,1, -, -,3,5,一般
,,,學士,,129,69,60,2,2,3,4,8,8,28,17,11,7, -, -, -,2, -,2,5, -, -,7,10,1,3,2,2,2,2,1, -,一般
,,,學士,進,32,16,16, -,1,1,3,1, -,3,4,8,6,1, -, -, -, -, -, -, -, -,1, -, -, -,2,1, -, -, -, -,一般
53,國立高雄科技大學,高雄市,博士,,109,84,25,6,3,3,1,12,1,1, -,41,12,1,3,3, -, -, -, -, -, -, -, -,7, -, -, -, -, -,11,4,技職
,,,碩士,,306,194,112,4,5,19,9,35,18,22,15,70,37,4,1,2,11, -,1,1, -, -, -, -,19,8, -, -, -, -,12,13,技職
,,,碩士,職,368,251,117,13,6,7, -,29,11,2,2,154,65,2,16,20,1, -,3, -, -, -, -, -,8,1, -, -, -, -,18,10,技職
,,,四技,,503,361,142,20,9,17,10,84,13,125,59,73,18,4, -, -,17,1,3,4, -, -, -, -,7,3, -, -,4,4,11,17,技職
,,,四技,修,271,202,69,5,6,6,4,9,1,40,11,100,37,3,2,1,19, -,3, -, -, -, -, -,6,2, -, -,8,2,4,2,技職
,,,二技,,29,18,11,2, -,2, -,1,1,3,4,9,5, -, -, -,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,技職
,,,二技,修,11,7,4, -, -, -, -, -, -,1,1,5,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,技職
,,,五專,,23,19,4,1,1, -, -,8, -,4,2,3, -, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -,1, -,1, -,技職
144,國立臺灣戲曲學院,臺北市,四技,,32,11,21,1,2, -,1, -,1,4,10,5, -,1, -,1, -,1, -,2, -, -, -, -,1,2, -, -, -, -, -, -,技職
,,,四技,修, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
221,國立臺南護理專科學校,臺南市,二專,,3, -,3, -, -, -, -, -, -, -, -, -,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,4,1,3, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,2, -, -, -, -, -, -,技職
,,,五專,,19,2,17, -,7, -, -, -, -,1,9, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,技職
222,國立臺東專科學校,臺東縣,二專,,55,39,16,2,1,2,4,3,1,15,5,5,1, -, -, -,2, -,1, -, -, -,6,2,1,1, -, -,2,1, -, -,技職
,,,二專,修,12,10,2, -,1, -, -, -, -, -, -,5,1, -, -, -,4, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,技職
,,,五專,,45,18,27,1, -,3,4,5,4,1,8,1,3, -, -,1,3,1, -, -, -, -,2,5, -, -, -,1,2, -, -, -,技職
1001,東海大學,臺中市,博士,,86,52,34,4,3, -,1, -, -, -, -,15,8, -,3,1, -, -, -,1,25,13, -, -,2,3,1, -, -,1,2,3,一般
,,,碩士,,380,178,202,6,5,4,14,2, -,4,2,53,56,1,5,7,3, -, -,5,51,52, -,2,9,8,1, -,8,3,32,47,一般
,,,碩士,職,233,117,116,6,12,2, -, -, -, -,1,55,42,1,2,5, -, -,3,2,27,28, -,1,10,7, -, -,4,1,8,16,一般
,,,學士,,525,279,246,31,29,8,6,15,12,65,60,20,9,3, -,1,2, -,19,41, -, -,5,1,12,9,3,3,15,6,84,66,一般
,,,學士,進,57,34,23,2,3,1, -,3, -, -,1,11,6, -, -,4,1, -, -, -, -, -, -, -,3,3,1, -,5,3,7,3,一般
1002,輔仁大學,新北市,博士,,145,70,75,2,8, -,1, -, -,2,6,17,21, -,5,8, -, -, -, -,41,24, -, -, -, -, -,1, -, -,3,6,一般
,,,碩士,,390,160,230,3,17,4,3, -, -,33,59,47,75,4,3,12,6, -,1,2,55,47, -,1,1, -, -,2, -,1,7,7,一般
,,,碩士,職,304,118,186,4,19,1,1, -, -,13,15,60,80,9,13,33, -, -,1,1,25,27, -, -, -, -,1,1, -, -, -, -,一般
,,,學士,,542,252,290,28,47,5,6,10,5,98,143,63,34, -, -,1,2, -,30,39, -, -,7,3,2,2, -, -,2,7,5,3,一般
,,,學士,進,249,113,136,13,23,3,4,1, -,18,25,66,64, -, -,7,2, -,5,6, -, -,3,2, -, -, -, -,2,5, -, -,一般
,,,二技,修,4,1,3,1,1, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1003,東吳大學,臺北市,博士,,24,13,11, -, -,1, -, -, -, -, -,1, -,2, -, -, -, -, -, -,8,6, -, -, -, -, -, -, -, -,3,3,一般
,,,碩士,,264,118,146,4,4,3,2, -, -, -,1,32,42,3,3,4,7, -,4,3,42,45, -,2,2,2,3,2, -, -,18,36,一般
,,,碩士,職,223,98,125,2,4, -, -, -, -,1,1,37,48,4,7,22,1, -,3,2,22,21,1,1,3,1,1,2, -, -,20,19,一般
,,,學士,,406,194,212,20,38,6,8,12,5,31,44,18,8, -, -,1,10, -,23,36, -, -,16,16,2,2,2,5, -, -,54,49,一般
,,,學士,進,110,42,68,5,9,2,2,2,3,3,5,11,19,1,1,2, -, -,2,2, -, -, -, -, -,1,1,2,1, -,14,22,一般
,,,4+X,,1,1, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
1004,中原大學,桃園市,博士,,71,42,29,2,1,1, -, -, -, -, -,23,12, -,3,6,1, -,3,1,8,7, -, -,1,2, -, -, -, -, -, -,一般
,,,碩士,,215,108,107,4,6,8,7,2,1,7,4,30,32,1,6,10,6, -,2,2,26,35,8,5,4,2,5,2, -, -, -, -,一般
,,,碩士,職,178,121,57,4,5,8,3, -, -, -, -,68,27,2,24,13,4, -,2, -,9,3, -,1,2,3, -, -, -, -, -, -,一般
,,,學士,,451,273,178,11,12,17,13,61,17,55,41,52,35,1,1,7,16, -,22,22, -, -,17,23,7,3,10,4,4, -, -, -,一般
1005,淡江大學,新北市,博士,,125,75,50,4,6, -, -, -, -,1, -,22,12,3,2,2,1, -,2,2,9,3, -, -,2,2, -, -,29,18,3,2,一般
,,,碩士,,271,139,132,7,8,4,2,2, -,3,5,11,8,1,1,4,1, -,3,2,14,23, -,3, -, -,2,2,73,59,18,15,一般
,,,碩士,職,167,90,77,1,6, -,1, -, -, -, -,19,11,3,6,5, -, -,3,2,6,8, -, -, -,1,1, -,51,36,3,4,一般
,,,學士,,930,574,356,35,52,11,7,22,5,94,47,12,8,1, -, -,3, -,30,25, -, -,16,7, -,2,15,15,266,174,70,13,一般
,,,學士,進,170,111,59,1,5,2,1,3,1,5,6,10,5, -, -,1,1, -,2,2, -, -,1, -,2,1,1, -,75,34,8,3,一般
1006,中國文化大學,臺北市,博士,,118,61,57,3,4,2, -, -, -, -,1,24,9,1, -,4, -, -, -, -,22,25, -,1,2,1,1, -,2,2,5,9,一般
,,,碩士,,356,208,148,3,7,12,8,1,2,8,1,60,46, -,3,4,3, -,1,4,65,39,2,1,4, -,13,6,5,3,28,27,一般
,,,碩士,職,201,83,118,4,7,2,3,1, -, -,1,40,53, -,2,5,2, -,3,4,10,15, -, -,5,6, -,2,14,21, -,1,一般
,,,學士,,1233,719,514,32,49,40,31,56,23,100,100,68,40,1,1,2,7, -,31,29, -, -,12,14,6,3,8,7,251,135,107,80,一般
,,,學士,進,511,268,243,3,11,3,5,1,3,15,27,60,46,4, -, -,22, -,5,7, -, -,2,4,7,6,3,4,146,125,1,1,一般
,,,二技,修,26,7,19, -, -, -, -, -, -, -,1,2,8, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -,4,9, -, -,技職
1007,逢甲大學,臺中市,博士,,52,40,12,6,2, -, -, -,1, -, -,12,4, -,6, -,1, -,1, -,8,3, -, -,5,2, -, -, -, -,1, -,一般
,,,碩士,,156,99,57,6,4,3,1, -,2,1,3,28,11,1,4,4,4, -,3, -,10,13, -, -,19,10, -,2, -, -,21,6,一般
,,,碩士,職,152,92,60,4,5, -,2,1, -, -,1,58,25,2,9,5, -, -, -,2,12,6, -, -,4,9,1, -, -, -,3,3,一般
,,,學士,,494,356,138,38,19,7,2,27,8,90,35,43,7,1,1,3,10, -,29,18, -, -,2, -,34,20,1, -,9,2,65,23,一般
,,,學士,進,86,44,42,3,4, -,2,2, -,7,6,14,12,4, -,4,1, -,1, -, -, -, -, -,5,6,1, -,3,1,7,3,一般
1008,靜宜大學,臺中市,博士,,9,1,8, -, -, -, -, -, -, -, -, -,1, -, -,2, -, -, -, -,1,5, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,84,29,55,2,5, -,1,2,1,1, -,10,29,2, -,1, -, -, -, -,11,9, -,1,3,3, -,3, -, -, -, -,一般
,,,碩士,職,61,26,35,1,2, -,1,3, -, -, -,16,12,2, -,6, -, -, -,1,6,10, -, -, -,1, -, -, -, -, -, -,一般
,,,學士,,431,209,222,18,24,14,17,46,43,56,47,30,40,4, -,1,2, -,8,14, -, -,12,14,4,4,13,6,6,6, -,2,一般
1009,長庚大學,桃園市,博士,,67,47,20,1,1,2, -, -, -,1,1,16,8, -, -, -, -, -,4, -,8,5, -, -,6,2, -, -, -, -,9,3,一般
,,,碩士,,151,59,92,1,2,3,6, -, -,10,6,10,19,3, -,4, -, -,1,2,8,12, -, -,7,17, -, -, -, -,19,21,一般
,,,碩士,職,55,39,16, -,1,1,1, -, -, -,1,29,8,1,2, -, -, -,1, -, -, -, -, -,3,4, -, -, -, -,3, -,一般
,,,學士,,160,70,90,1,4,3,1, -, -,32,47,2,3,1, -,2,2, -,4,5, -, -, -, -,2,2, -, -,1, -,23,25,一般
1010,元智大學,桃園市,博士,,42,33,9, -, -, -, -, -, -,1, -,13,4, -,2, -, -, -, -, -,9,2, -, -,4,1, -, -, -, -,4,2,一般
,,,碩士,,74,49,25,4,1,1, -, -, -,2,1,10,5, -, -, -, -, -, -, -,12,6, -, -,1, -, -, -, -, -,19,12,一般
,,,碩士,職,98,69,29,1, -,1, -, -, -,1, -,51,19,1, -, -, -, -, -,1,11,4, -, -,1,1, -, -, -, -,3,3,一般
,,,學士,,213,130,83,5,9,1,1,18,6,36,18,10,8, -, -, -, -, -,3,6, -, -, -, -,2, -, -, -, -, -,55,35,一般
1011,中華大學,新竹市,博士,,13,10,3, -, -, -, -, -, -, -, -,6,1, -, -,1, -, -, -, -,4,1, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,74,47,27, -,1,3,1, -, -,5,2,22,16, -,1,1,4, -, -,1,7,5,1, -,1, -, -, -,3, -, -, -,一般
,,,碩士,職,50,30,20,2,1, -, -, -, -, -, -,22,13, -, -,1, -, -, -,1,6,3, -, -, -,1, -, -, -, -, -, -,一般
,,,學士,,196,134,62,12,8,12,4,19,8,33,23,21,7, -, -, -,13, -,5,2, -, -,9,7,4, -,1,2,5,1, -, -,一般
,,,學士,進,30,22,8,2,1, -,1,2, -,2,3,9,2, -, -, -,3, -, -, -, -, -,1, -, -,1,1, -,2, -, -, -,一般
,,,二技,修,9,5,4, -, -, -, -, -, -,1,3,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1012,大葉大學,彰化縣,博士,,72,53,19,2,3,2, -, -, -,1, -,27,11, -,4, -,1, -, -, -,14,3, -, -, -, -, -, -,1, -,1,2,一般
,,,碩士,,134,76,58,2,7, -,7, -, -,1, -,47,29,1,1,3,3, -,3,1,13,7, -, -,3,1,2,2, -, -,1, -,一般
,,,碩士,職,86,37,49,1, -,1, -, -, -, -, -,27,34, -,2,1, -, -, -, -,5,11, -, -,1,3, -, -, -, -, -, -,一般
,,,學士,,374,243,131,27,39,22,24,14,2,40,27,88,16,2,1,1,22, -,4,2, -, -,7,6,4,5,6,3,3,1,5,3,一般
,,,學士,進,47,32,15, -,2,2,1,1, -,5,2,15,8, -, -,1,4, -,1, -, -, -,2, -,2,1, -, -, -, -, -, -,一般
,,,二技,修,5, -,5, -, -, -, -, -, -, -, -, -,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1013,華梵大學,新北市,博士,,12,8,4,1,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -,5,3, -, -,1, -, -, -, -, -, -, -,一般
,,,碩士,,44,17,27,1,3, -, -,2, -,1, -,4,4, -, -,1,1, -, -, -,6,16,1,1,1,1, -, -, -, -, -,1,一般
,,,碩士,職,43,16,27,2,5,1, -, -,1,1, -,9,8, -, -, -, -, -,1,1,2,6, -, -, -,5, -, -, -, -, -,1,一般
,,,學士,,63,30,33,3,10, -, -,3, -,5,3,10,8, -, -, -,2, -,2, -, -, -, -,1,4,9, -, -, -, -,1,2,一般
1014,義守大學,高雄市,博士,,26,17,9, -, -, -, -, -, -, -, -,12,7, -, -,1, -, -, -, -,5, -, -, -, -,1, -, -, -, -, -, -,一般
,,,碩士,,16,6,10, -, -, -, -, -,1, -,1,5,5, -,1, -, -, -, -, -, -,1, -, -, -,1, -, -, -, -, -,1,一般
,,,碩士,職,33,24,9,1, -, -, -, -, -, -, -,14,3,1,2,3, -, -, -, -,1, -, -, -,5,1, -, -, -, -,1,1,一般
,,,學士,,262,157,105,13,7,6,16,8,5,64,44,39,14,2, -,1,2, -,9,6, -, -,2, -,5,2,4, -,2,3,3,5,一般
,,,學士,進,54,37,17, -,2,1,2, -, -,3,1,21,8,1, -, -,4, -, -, -, -, -, -,2,1, -,1,1,3, -,3, -,一般
,,,二技,修,7,2,5, -, -, -, -, -, -, -, -,1,3, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -, -,1,技職
1015,世新大學,臺北市,博士,,36,15,21, -,1, -,1, -, -, -, -,7,13, -,1, -, -, -, -, -,7,5, -, -, -,1, -, -, -, -, -, -,一般
,,,碩士,,158,78,80,1,6,3,7, -, -,2, -,24,20,1, -,3,6, -, -,2,32,33, -, -,2, -,5,1, -, -,3,7,一般
,,,碩士,職,187,104,83,3,4,1, -, -, -, -, -,49,45,1,6,11, -, -,1,1,33,13, -, -,1,1, -, -, -, -,10,7,一般
,,,學士,,319,159,160,20,33,8,11,11,6,58,59,24,14,2, -, -,5, -,13,18, -, -,7,6,1,3,4,2,3, -,5,6,一般
,,,學士,進,30,17,13, -,1, -, -, -, -,2,2,6,4, -, -, -, -, -,1, -, -, -, -, -,1, -, -, -, -, -,7,6,一般
1016,銘傳大學,臺北市,博士,,21,10,11,1,1, -, -, -, -, -, -,6,4,1, -, -, -, -, -,1,2,3, -, -,1, -, -, -, -, -, -,1,一般
,,,碩士,,142,54,88,6,6, -, -, -,1, -,1,16,37,1, -,5,4, -,2,2,15,22, -, -, -,1, -,1, -, -,11,11,一般
,,,碩士,職,108,61,47,2,4, -, -, -, -, -, -,34,18,1,1,5,1, -, -, -,16,9, -, -,1,2, -, -, -, -,6,8,一般
,,,學士,,712,362,350,27,48,9,9,71,27,18,34,77,51,2,1, -,11, -,17,28, -, -,9,13,2,4,1,1,2,7,117,126,一般
1017,實踐大學,臺北市,博士,,2,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,1, -, -, -, -, -, -, -, -,一般
,,,碩士,,88,45,43,2,2,1,2,2,1, -, -,5,9, -,1,2,1, -,1,2,25,22, -, -,2,1,1, -, -, -,4,2,一般
,,,碩士,職,28,11,17, -, -, -, -, -,1, -, -,5,5,1, -,2,1, -, -, -,5,8, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,402,148,254,18,45,4,13,19,20,31,64,27,30,1, -,2,8, -,10,27, -, -,5,11,3,6,5,11,4,8,14,16,一般
,,,學士,進,110,41,69,3,17,5,5,1,2,7,4,15,20,2, -,4,1, -,1,2, -, -, -, -,1,7,1,3,1,1,5,2,一般
,,,二技,修,11,2,9, -,2, -, -, -, -, -, -,2,2, -, -,1, -, -, -,1, -, -, -, -, -,1, -, -, -,2, -, -,技職
1018,朝陽科技大學,臺中市,博士,,11,8,3,1, -, -, -, -, -, -, -,1,2,1, -, -, -, -, -, -,3, -, -, -,1, -, -, -, -, -,2, -,技職
,,,碩士,,101,49,52,3,2,3,2,2,1,3, -,18,18,2, -,3,4, -, -,1,11,19, -, -,1,2, -, -, -, -,4,2,技職
,,,碩士,職,79,37,42,2, -,1, -,1, -, -, -,23,20, -, -,7, -, -, -,1,8,7, -,1,2,5, -,1, -, -, -, -,技職
,,,四技,,379,189,190,16,18,15,23,22,18,54,54,32,33,2,2,12,23, -,4,6, -, -,4,4,5,8,2,4, -, -,10,8,技職
,,,四技,修,154,91,63,6,5,11,13, -,1,9,11,38,20,3, -,2,14, -,1, -, -, -,1,1,4,4,1, -,4, -,2,3,技職
,,,二技,,3,2,1, -, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -,技職
1019,高雄醫學大學,高雄市,博士,,74,39,35,1,3,1, -, -, -, -,1,14,6,3,6,1, -, -, -, -,16,17, -, -, -,4, -, -, -, -,1, -,一般
,,,碩士,,122,35,87, -, -,2,1, -, -,2,4,14,35,2, -,8, -, -, -,1,9,32,3,1,2,2,1, -, -, -,2,1,一般
,,,碩士,職,69,27,42, -,1,3,2, -, -, -, -,16,15,1, -,8, -, -, -, -,6,12, -, -,1,2,1,1, -, -, -, -,一般
,,,學士,,205,86,119,2,6,2,1,3,3,54,69,5,3,1, -, -, -, -,7,11, -, -,3,9,4,3,1,4, -,1,5,8,一般
1020,南華大學,嘉義縣,博士,,8,3,5, -, -, -, -, -, -, -, -,1,1, -, -,2, -, -,1, -,1,2, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,,192,77,115,2,5,5,5, -,1,2,10,32,32,5,2,9,3, -, -, -,21,35,1,1,3,9,3,2, -, -,3,1,一般
,,,碩士,職,132,52,80,2,1,2,3, -,2,4,1,19,29,1,4,9, -, -,1,1,17,30, -,1,1,2,2, -, -, -, -, -,一般
,,,學士,,243,133,110,11,15,18,12,18,11,34,29,25,13,1, -,1,8,3,1,5,1, -,6,6,6,7,1,1, -, -,4,6,一般
,,,學士,進,33,20,13,1,1, -,3,2,1,4,4,10,4, -, -, -,1, -, -, -, -, -,1, -, -, -,1, -, -, -, -, -,一般
1021,真理大學,新北市,碩士,,20,18,2,2, -,1,1, -, -,1, -,2, -, -, -, -,1, -,1, -,9,1, -, -,1, -, -, -, -, -, -, -,一般
,,,碩士,職,2,1,1, -, -,1, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,191,117,74,4,12,41,24,3,5,29,12,16,7,2, -, -,13, -,4,5, -, -,3,5,2, -,2,1, -, -, -,1,一般
1022,大同大學,臺北市,博士,,32,18,14,1,1, -,1, -, -, -, -,8,5, -, -,2,1, -, -, -,7,4, -, -, -, -, -, -, -, -,1,1,一般
,,,碩士,,20,15,5,1, -,1, -,1, -, -, -,3,1, -, -, -,1, -, -, -,5,2, -, -,2, -, -, -, -, -,1,2,一般
,,,碩士,職,35,26,9, -,1, -, -, -, -, -, -,18,6,1,1,1, -, -, -, -,4, -, -, -,1, -,1, -, -, -,1, -,一般
,,,學士,,105,74,31,9,3,2,2,4,1,25,14,11, -, -, -, -,4, -,9,3, -, -,6,3,1, -,2,3, -, -,1,2,一般
1023,南臺科技大學,臺南市,博士,,20,15,5,3,1,1, -, -, -,1, -,8,3, -, -,1, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -,技職
,,,碩士,,243,123,120,10,8,15,23, -, -,5,1,48,42,3, -,2,12, -,2,3,10,7,1,1, -,7,2,5, -, -,18,18,技職
,,,碩士,職,113,67,46,2,5,3,4, -, -, -, -,41,22,3,1,1, -, -,1, -,6,6, -, -,2, -,2,1, -, -,9,4,技職
,,,四技,,805,512,293,34,33,50,40,15,7,102,89,168,65,3,1,3,67,1,9,8, -, -,4,5,2,5,24,8, -, -,36,26,技職
,,,四技,修,712,438,274,20,21,42,42,4,3,25,28,235,131,12, -,4,71,4,2, -, -, -,2,2,4,2,12,4, -, -,21,21,技職
,,,二技,,9,1,8, -,2, -,2, -, -, -,1,1,2, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,技職
,,,二技,修,36,16,20, -,2, -,2, -, -, -, -,14,11,1, -,1,1, -, -, -, -, -, -,1, -,1, -,1, -, -,1, -,技職
