,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
,,,碩士,,155,106,49,7,4,5,2,1, -,20,6,32,24,1,1,1,8, -,3,2,9,4,8,1,4,3,5,1, -, -,3, -,一般
,,,碩士,職,122,83,39,1,4, -, -, -, -, -, -,48,13,1,7,3, -, -,2,1,12,7,1, -,10,9,1,1, -, -,1, -,一般
,,,學士,,189,138,51,9,7,3,4,22,2,34,14,24,3, -, -, -,4, -,8,7, -, -,7,2,10,2,8,3, -, -,9,7,一般
,,,學士,進,66,42,24,4,2, -,1,2, -,1,2,19,9,2, -,1,5, -,3, -, -, -,1, -,5,6, -, -, -, -,2,1,一般
13,國立中正大學,嘉義縣,博士,,131,76,55,1,1,2,2, -, -,1, -,21,15,1,8,10, -, -,1, -,22,14, -, -,7,4,3, -,1,1,9,7,一般
,,,碩士,,377,180,197,7,8,9,8,8,6,21,10,36,43,3,4,11, -, -,2,2,49,58,2,3,15,15,10,13,1, -,16,17,一般
,,,碩士,職,305,129,176,3,8,2,2,2, -,2,1,59,59,6,10,19, -, -,1, -,35,57, -,1,7,16,3,5, -, -,5,2,一般
,,,學士,,172,113,59,8,12,4,1,18,1,51,33,6,1, -,1, -, -, -,11,7, -, -,3, -,4,2,5,1, -, -,2,1,一般
14,國立高雄師範大學,高雄市,博士,,108,48,60, -,1,2, -, -, -, -, -,19,17,2,3,8,1, -, -, -,18,25, -, -,3,6, -, -, -, -,2,1,師範
,,,碩士,,381,121,260, -,6,10,7, -, -,4,2,41,87,10,5,20,5, -,3,6,39,102,3,1,6,11,4,6, -,2,1, -,師範
,,,碩士,職,384,152,232,7,16,1,5, -, -, -,10,88,84,14,12,42,1,1,1,1,20,25,11,17,9,16,2,1, -, -, -, -,師範
,,,學士,,125,71,54,7,3,1,5,2, -,41,27,8,3, -, -, -,1, -,2,6, -, -,6,6,1,1, -, -,2,2, -,1,師範
15,國立彰化師範大學,彰化縣,博士,,105,58,47,1,1, -, -, -, -,1, -,24,19, -,4,8, -, -, -,1,18,9, -, -,4,2, -, -,1, -,5,7,師範
,,,碩士,,334,139,195,3,10,6,7, -, -,7,3,38,48,3,4,16,6, -,1,2,36,46,2,2,5,12,14,21, -, -,17,25,師範
,,,碩士,職,306,114,192,4,7,3,1,1, -, -,2,42,71,15,8,36, -, -, -, -,23,39, -, -,5,5,1,3,25,12,2,1,師範
,,,學士,,160,104,56,8,4,4,2,7,1,26,24,11,1, -, -, -,4, -,4,5, -, -,5,1,1,3,5,2,1,1,28,12,師範
17,國立臺北大學,新北市,博士,,48,30,18,3,2,4, -, -, -,1, -,9,4,1,1,3, -, -,4,1,6,6, -, -,1,1, -, -, -, -,1, -,一般
,,,碩士,,229,108,121,2, -,2,7,1, -,7,9,32,35, -,4,9,3, -, -,1,36,44,1,1,4,5,6,8, -, -,10,2,一般
,,,碩士,職,108,50,58,2,2, -, -, -, -, -, -,33,30,4,3,7, -, -, -,1,6,8, -, -, -, -, -, -, -, -,6,6,一般
,,,學士,,117,61,56, -, -,3,2,14,6,11,17,5, -, -, -,1,1, -,12,14, -, -,7,9,2, -,3,1, -, -,3,6,一般
,,,學士,進,228,110,118,8,13,2,5,9,5,12,9,50,52,1,2,5,5, -,2,4, -, -,1,1,2,2,2, -, -,3,15,18,一般
18,國立嘉義大學,嘉義市,博士,,37,27,10,2, -,2, -, -, -,3,1,12,2, -,1, -, -, -, -, -,5,7, -, -,2, -, -, -, -, -, -, -,一般
,,,碩士,,266,130,136,8,10,6,3,1,2,8,4,65,75,5,2,13,10, -,1,1,18,16,3,1,8,6, -, -, -, -, -, -,一般
,,,碩士,職,217,83,134,2,5,1,1, -, -,1,2,48,73,9,12,13, -, -, -,1,16,15, -, -,3,15, -, -, -, -, -, -,一般
,,,學士,,318,191,127,10,19,7,3,27,5,97,69,21,13,1, -, -,4, -,7,8, -, -,6,4,11,5, -, -, -, -,1, -,一般
,,,學士,進,201,136,65,8,6,10,7,14,2,16,11,71,31, -, -,2,7,1,1,3, -, -,3, -,5,2, -, -,1, -, -, -,一般
19,國立高雄大學,高雄市,博士,,13,11,2,1, -, -, -,2,1, -, -,5,1, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -,1, -,一般
,,,碩士,,114,53,61,6,6,7,4,5,12,6,3,24,26,1,2,3,2, -, -, -,1,1, -, -, -,3, -,2, -, -, -, -,一般
,,,碩士,職,159,96,63,3,2,4, -, -,1, -, -,81,49,2,4,2, -, -, -, -, -,2, -, -,4,4, -,1, -, -, -, -,一般
,,,學士,,155,96,59,9,12,5,3,22,23,38,10,12,6, -, -, -,5, -,1, -, -, -, -, -, -,1,2,1,2,3, -, -,一般
,,,二技,修,42,30,12,1,1, -,1, -,4, -, -,28,3, -, -,2, -, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -,技職
20,國立東華大學,花蓮縣,博士,,125,67,58,7,4,2,3,1, -, -, -,24,20, -,4,6,2, -, -, -,17,10, -, -,7,9, -,1, -,1,3,4,一般
,,,碩士,,444,184,260,7,18,8,6,9,3,4,4,41,82,7,8,24,4, -,1,1,52,59,1,1,14,30,4,6,4, -,27,19,一般
,,,碩士,職,213,96,117,2,5,3,2,1, -, -, -,41,34,2,13,11, -, -, -,1,17,31,1, -,9,20,4,4,1, -,4,7,一般
,,,學士,,346,197,149,16,30,3,6,28,8,20,16,13,10,2, -,4,3, -,5,10, -, -,12,9,28,17,5,3,1,4,63,30,一般
21,國立暨南國際大學,南投縣,博士,,88,40,48,3,7, -,1, -, -, -, -,15,16, -,4,6, -, -,2,1,13,11, -, -,3,5, -,1, -, -, -, -,一般
,,,碩士,,161,55,106,3,8,1,2, -,1,1, -,29,56,3,2,11,1, -, -,2,9,11, -, -,8,11,1,1, -, -, -, -,一般
,,,碩士,職,73,25,48,2,6, -, -, -, -, -, -,22,30, -, -,1, -, -, -, -,1,4, -, -, -,7, -, -, -, -, -, -,一般
,,,學士,,122,69,53,7,3,4,3,4,6,19,10,7,5, -, -, -,1, -,4,4, -, -,19,14,2,7,2,1, -, -, -, -,一般
22,國立臺灣科技大學,臺北市,博士,,246,172,74,4,8,8,3,3,3, -, -,60,18,6,28,7,1, -,2, -,35,16, -,1,9,6,2, -, -, -,20,6,技職
,,,碩士,,235,149,86,12,10,8,5,1,4,20,5,46,27,1,2,3,4, -,5,7,15,7,11,2,7,5,1,1, -, -,17,9,技職
,,,碩士,職,134,88,46,4,1,2, -, -,1,1, -,50,15,1,7,10, -, -,2, -,14,7, -, -,3,7, -,1, -, -,5,3,技職
,,,四技,,148,101,47,11,6,1,1,20,7,32,15,8,2, -, -, -, -, -,6,7, -, -,6,3,4,3,1, -, -, -,12,3,技職
,,,二技,,4,2,2, -, -, -,1,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,技職
23,國立雲林科技大學,雲林縣,博士,,94,60,34,1,3,4,1,1,2, -,1,29,16, -,5,7,1, -,1,1,14,2, -, -,2,1,1, -, -, -,1, -,技職
,,,碩士,,234,144,90,3,2,31,12,8,2,12,15,50,40,1,1,4,8, -,2,1,10,6,13,2,3,1,3,2, -, -, -,2,技職
,,,碩士,職,165,95,70,5,4,3,11, -,1,2, -,63,33,3,5,9, -, -,2, -,11,7,1, -,1,1,1, -, -, -,1,1,技職
